datetime,name,tempmax,tempmin,temp,feelslikemax,feelslikemin,feelslike,dew,humidity,precip,preciptype,windgust,windspeed,cloudcover,visibility,uvindex,sunrise,sunset,conditions,description,icon,Close/Last,Volume,Open,High,Low,GasPrice
2014-10-15,"Austin, TX",87.6,53.9,68.2,84.2,53.9,67.5,46.1,50.4,0.0,,,6.4,0.0,9.9,,2014-10-15T07:33:01,2014-10-15T18:59:56,Clear,Clear conditions throughout the day.,clear-day,15.3133,136774897,14.6667,15.3993,14.488,3.81
2014-10-16,"Austin, TX",85.9,54.2,69.7,83.3,54.2,69.2,48.5,50.1,0.0,,21.7,11.2,0.0,9.9,,2014-10-16T07:33:41,2014-10-16T18:58:51,Clear,Clear conditions throughout the day.,clear-day,15.09,80907410,14.648,15.328,14.6067,3.8
2014-10-17,"Austin, TX",86.6,59.8,71.6,86.7,59.8,71.7,59.0,67.0,0.0,,19.5,8.6,0.3,9.9,,2014-10-17T07:34:21,2014-10-17T18:57:46,Clear,Clear conditions throughout the day.,clear-day,15.1653,158219471,15.5587,15.6513,15.1033,3.73
2014-10-20,"Austin, TX",80.7,61.3,70.5,81.2,61.3,70.6,60.8,73.7,0.0,,,7.3,32.0,8.9,,2014-10-20T07:36:24,2014-10-20T18:54:36,Partially cloudy,Partly cloudy throughout the day.,partly-cloudy-day,15.3647,52346749,15.1147,15.4933,15.034,3.69
2014-10-21,"Austin, TX",82.1,57.8,69.2,80.5,57.8,69.1,55.2,65.3,0.0,,17.2,8.4,10.5,9.4,,2014-10-21T07:37:06,2014-10-21T18:53:35,Clear,Clear conditions throughout the day.,clear-day,15.6893,61598909,15.618,15.6927,15.3867,3.62
2014-10-22,"Austin, TX",81.1,61.1,70.6,81.5,61.1,70.6,58.6,67.5,0.0,,,6.2,26.0,9.9,,2014-10-22T07:37:48,2014-10-22T18:52:34,Partially cloudy,Partly cloudy throughout the day.,partly-cloudy-day,15.4067,61743614,15.546,15.826,15.3707,3.69
2014-10-23,"Austin, TX",81.7,65.4,72.4,82.2,65.4,72.5,59.5,65.4,0.006,rain,,5.0,35.5,9.9,,2014-10-23T07:38:31,2014-10-23T18:51:35,"Rain, Partially cloudy",Partly cloudy throughout the day with early morning rain.,rain,15.686,52294549,15.6437,15.752,15.4667,3.6
2014-10-24,"Austin, TX",84.4,59.3,70.9,84.5,59.3,71.0,58.4,66.8,0.0,,,5.5,6.5,9.9,,2014-10-24T07:39:13,2014-10-24T18:50:36,Clear,Clear conditions throughout the day.,clear-day,15.6827,51882049,15.7513,15.8533,15.4133,3.53
2014-10-27,"Austin, TX",84.8,60.6,72.4,84.3,60.6,72.3,60.3,69.2,0.0,,24.4,12.4,14.5,9.7,,2014-10-27T07:41:25,2014-10-27T18:47:47,Clear,Clear conditions throughout the day.,clear-day,14.778,142994749,15.6167,15.6407,14.6873,3.56
2014-10-28,"Austin, TX",82.7,62.9,72.0,84.3,62.9,72.3,64.0,77.5,0.0,,,6.3,30.4,9.9,,2014-10-28T07:42:10,2014-10-28T18:46:52,Partially cloudy,Partly cloudy throughout the day.,partly-cloudy-day,16.1847,156658422,15.3067,16.3067,15.2167,3.53
2014-10-29,"Austin, TX",80.1,65.4,71.6,81.3,65.4,71.6,61.8,72.0,0.0,,16.1,8.4,56.7,9.9,,2014-10-29T07:42:55,2014-10-29T18:45:59,Partially cloudy,Partly cloudy throughout the day.,partly-cloudy-day,15.8733,74415158,16.0753,16.1,15.7093,3.6
2014-10-30,"Austin, TX",80.6,61.2,69.7,81.4,61.2,69.8,58.9,70.7,0.0,,,6.4,41.3,9.8,,2014-10-30T07:43:40,2014-10-30T18:45:07,Partially cloudy,Partly cloudy throughout the day.,partly-cloudy-day,15.9107,48388191,15.876,16.0333,15.6707,3.76
2014-10-31,"Austin, TX",75.3,59.0,66.1,75.3,59.0,66.1,48.8,58.7,0.258,rain,25.4,15.1,29.0,9.6,,2014-10-31T07:44:26,2014-10-31T18:44:17,"Rain, Partially cloudy",Partly cloudy throughout the day with rain clearing later.,rain,16.1133,56477372,16.1673,16.208,15.9167,3.82
2014-11-03,"Austin, TX",75.8,58.7,67.8,75.8,58.7,67.8,57.5,70.3,0.0,,24.3,11.4,86.5,9.9,,2014-11-03T06:46:46,2014-11-03T17:41:52,Partially cloudy,Partly cloudy throughout the day.,partly-cloudy-day,16.1727,63048088,16.2,16.504,16.088,3.82
2014-11-04,"Austin, TX",75.7,57.8,69.1,75.7,57.8,69.1,63.7,83.2,0.571,rain,29.8,19.3,99.9,9.1,,2014-11-04T06:47:34,2014-11-04T17:41:06,"Rain, Overcast",Cloudy skies throughout the day with rain.,rain,15.9287,55104452,16.0327,16.1567,15.7687,3.67
2014-11-05,"Austin, TX",59.0,55.6,57.3,59.0,55.6,57.3,56.3,96.6,1.576,rain,26.4,10.7,99.6,6.3,,2014-11-05T06:48:21,2014-11-05T17:40:22,"Rain, Overcast",Cloudy skies throughout the day with a chance of rain throughout the day.,rain,15.398,127461206,16.0667,16.0907,15.3687,3.83
2014-11-06,"Austin, TX",62.6,55.3,58.4,62.6,55.3,58.4,51.3,78.5,0.098,rain,19.5,9.4,87.5,9.4,,2014-11-06T06:49:09,2014-11-06T17:39:39,"Rain, Partially cloudy",Partly cloudy throughout the day with rain clearing later.,rain,16.0813,230048135,15.6327,16.446,15.2333,3.92
2014-11-07,"Austin, TX",69.2,48.0,58.7,69.2,48.0,58.7,41.5,55.5,0.0,,,6.6,27.3,9.9,,2014-11-07T06:49:58,2014-11-07T17:38:57,Partially cloudy,Partly cloudy throughout the day.,partly-cloudy-day,16.0133,77323356,16.146,16.1893,15.8133,3.92
2014-11-10,"Austin, TX",76.1,46.3,62.7,76.1,46.3,62.7,51.7,69.1,0.0,,30.1,17.4,9.5,9.9,,2014-11-10T06:52:25,2014-11-10T17:37:01,Clear,Clear conditions throughout the day.,clear-day,16.1287,68457176,15.9407,16.192,15.7867,4.18
2014-11-11,"Austin, TX",64.7,44.0,53.3,64.7,40.1,51.1,40.8,64.4,0.0,,31.0,16.8,43.7,9.8,,2014-11-11T06:53:14,2014-11-11T17:36:25,Partially cloudy,Partly cloudy throughout the day.,partly-cloudy-day,16.7387,119203410,16.17,16.788,16.1333,4.18
2014-11-12,"Austin, TX",49.9,36.0,42.5,45.1,29.1,36.4,24.1,48.7,0.0,,30.1,14.3,37.9,9.9,,2014-11-12T06:54:04,2014-11-12T17:35:51,Partially cloudy,Becoming cloudy in the afternoon.,partly-cloudy-day,16.6067,87924541,16.648,16.8227,16.372,4.2
2014-11-13,"Austin, TX",41.2,30.6,36.3,35.1,24.3,29.3,12.9,38.2,0.0,,27.0,14.8,88.2,9.9,,2014-11-13T06:54:54,2014-11-13T17:35:18,Partially cloudy,Partly cloudy throughout the day.,partly-cloudy-day,16.78,93454273,16.708,17.05,16.6833,4.2
2014-11-14,"Austin, TX",44.5,29.7,38.3,44.2,27.2,36.4,16.7,42.0,0.0,,,6.0,91.9,9.9,,2014-11-14T06:55:44,2014-11-14T17:34:46,Overcast,Cloudy skies throughout the day.,cloudy,17.2453,91400729,16.6667,17.2567,16.5667,4.05
2014-11-17,"Austin, TX",51.8,29.9,38.6,51.8,21.8,34.1,21.1,53.1,0.0,,26.4,13.2,15.0,9.9,,2014-11-17T06:58:16,2014-11-17T17:33:22,Clear,Clear conditions throughout the day.,clear-day,16.932,60260310,17.166,17.2667,16.8013,4.26
2014-11-18,"Austin, TX",55.6,30.5,41.3,55.6,30.5,41.1,23.4,53.5,0.0,,20.8,7.2,10.5,9.7,,2014-11-18T06:59:06,2014-11-18T17:32:57,Clear,Clear conditions throughout the day.,clear-day,17.18,67011371,17.0573,17.3327,17.034,4.33
2014-11-19,"Austin, TX",68.0,32.5,49.3,68.0,32.5,49.3,36.7,63.7,0.0,,25.3,11.9,5.9,9.9,,2014-11-19T06:59:57,2014-11-19T17:32:34,Clear,Clear conditions throughout the day.,clear-day,16.516,118694281,16.7073,16.792,16.3733,4.41
2014-11-20,"Austin, TX",69.8,43.4,57.0,69.8,43.4,57.0,52.9,86.7,0.072,rain,,9.4,66.2,8.6,,2014-11-20T07:00:47,2014-11-20T17:32:12,"Rain, Partially cloudy",Partly cloudy throughout the day with rain.,rain,16.5807,53752413,16.53,16.7287,16.4,4.41
2014-11-21,"Austin, TX",73.7,61.8,66.9,73.7,61.8,66.9,64.9,93.5,0.255,rain,20.8,9.6,99.0,6.7,,2014-11-21T07:01:38,2014-11-21T17:31:52,"Rain, Overcast",Cloudy skies throughout the day with a chance of rain throughout the day.,rain,16.1853,111940024,16.814,16.852,16.1447,4.32
2014-11-24,"Austin, TX",64.6,41.8,53.5,64.6,41.8,52.7,32.6,49.3,0.0,,26.1,15.6,5.6,9.8,,2014-11-24T07:04:09,2014-11-24T17:31:02,Clear,Clear conditions throughout the day.,clear-day,16.448,71702994,16.3467,16.5067,16.0427,4.09
2014-11-25,"Austin, TX",66.0,38.6,49.9,66.0,35.0,49.2,32.7,57.8,0.0,,,7.7,6.0,9.8,,2014-11-25T07:05:00,2014-11-25T17:30:49,Clear,Clear conditions throughout the day.,clear-day,16.5393,47320626,16.49,16.648,16.406,4.09
2014-11-26,"Austin, TX",75.5,42.0,57.7,75.5,41.2,57.4,33.3,42.7,0.0,,25.3,8.7,0.1,9.9,,2014-11-26T07:05:50,2014-11-26T17:30:37,Clear,Clear conditions throughout the day.,clear-day,16.5627,29712465,16.556,16.6,16.44,4.15
2014-11-28,"Austin, TX",71.7,40.7,55.1,71.7,40.7,55.0,43.8,67.7,0.0,,24.7,14.3,22.3,9.9,,2014-11-28T07:07:29,2014-11-28T17:30:19,Partially cloudy,Clearing in the afternoon.,partly-cloudy-day,16.3013,31795304,16.3567,16.446,16.168,4.3
2014-12-01,"Austin, TX",65.2,41.3,50.7,65.2,35.0,47.0,40.4,69.2,0.0,,29.7,14.3,94.6,9.3,1.0,2014-12-01T07:09:55,2014-12-01T17:30:05,Overcast,Cloudy skies throughout the day.,cloudy,15.4427,129056920,16.0773,16.1647,15.2673,4.3
2014-12-02,"Austin, TX",49.7,39.1,44.3,49.7,33.3,41.2,31.4,60.5,0.0,,19.9,10.2,100.0,9.9,5.0,2014-12-02T07:10:43,2014-12-02T17:30:04,Overcast,Cloudy skies throughout the day.,cloudy,15.4287,88073341,15.638,15.6587,15.2,3.77
2014-12-03,"Austin, TX",59.6,47.6,53.2,59.6,45.3,53.0,49.3,86.8,0.0,,13.4,5.1,100.0,6.8,2.0,2014-12-03T07:11:30,2014-12-03T17:30:04,Overcast,Cloudy skies throughout the day.,cloudy,15.2867,79495085,15.0833,15.3147,15.0333,3.63
2014-12-04,"Austin, TX",64.6,59.0,61.6,64.6,59.0,61.6,59.8,93.9,0.039,rain,15.9,9.0,98.6,4.4,1.0,2014-12-04T07:12:17,2014-12-04T17:30:06,"Rain, Overcast",Cloudy skies throughout the day with rain.,rain,15.2187,57941986,15.24,15.3933,15.1873,3.63
2014-12-05,"Austin, TX",75.1,63.2,67.8,75.1,63.2,67.8,63.0,85.8,0.024,rain,24.2,9.8,70.6,8.3,5.0,2014-12-05T07:13:03,2014-12-05T17:30:10,"Rain, Partially cloudy",Partly cloudy throughout the day with rain clearing later.,rain,14.914,90920805,15.2447,15.2926,14.8173,3.42
2014-12-08,"Austin, TX",65.7,48.6,55.0,65.7,48.6,55.0,46.3,73.3,0.0,,16.6,8.6,58.5,9.8,6.0,2014-12-08T07:15:18,2014-12-08T17:30:32,Partially cloudy,Partly cloudy throughout the day.,partly-cloudy-day,14.2907,138260571,14.7693,14.9907,14.156,3.42
2014-12-09,"Austin, TX",68.2,43.1,54.1,68.2,43.1,54.1,45.2,74.9,0.0,,12.1,6.7,17.1,8.3,6.0,2014-12-09T07:16:01,2014-12-09T17:30:43,Clear,Clear conditions throughout the day.,clear-day,14.4593,141405904,13.956,14.5153,13.618,3.63
2014-12-10,"Austin, TX",64.5,47.1,55.6,64.5,47.1,55.6,49.2,80.2,0.036,rain,15.4,5.2,88.0,8.9,3.0,2014-12-10T07:16:44,2014-12-10T17:30:55,"Rain, Partially cloudy",Partly cloudy throughout the day with late afternoon rain.,rain,13.9893,109622540,14.2753,14.4513,13.8467,3.65
2014-12-11,"Austin, TX",66.4,56.6,61.1,66.4,56.6,61.1,57.0,86.8,0.053,rain,20.6,8.7,99.9,7.5,4.0,2014-12-11T07:17:25,2014-12-11T17:31:09,"Rain, Overcast",Cloudy skies throughout the day with rain clearing later.,rain,13.9253,100266835,14.0353,14.362,13.882,3.68
2014-12-12,"Austin, TX",69.4,58.9,63.6,69.4,58.9,63.6,56.6,78.5,0.0,,23.7,8.6,90.1,9.9,3.0,2014-12-12T07:18:06,2014-12-12T17:31:24,Overcast,Cloudy skies throughout the day.,cloudy,13.8,107507556,13.6547,14.112,13.6333,3.91
2014-12-15,"Austin, TX",73.3,50.6,64.7,73.3,50.6,64.7,47.3,59.5,0.0,,19.2,9.7,36.8,9.7,6.0,2014-12-15T07:20:03,2014-12-15T17:32:20,Partially cloudy,Clearing in the afternoon.,partly-cloudy-day,13.6027,77934666,13.9527,13.9867,13.5113,3.72
2014-12-16,"Austin, TX",61.7,44.9,53.2,61.7,41.3,52.5,34.3,49.4,0.0,,21.9,11.1,33.5,9.9,6.0,2014-12-16T07:20:40,2014-12-16T17:32:42,Partially cloudy,Becoming cloudy in the afternoon.,partly-cloudy-day,13.1873,126242622,13.3927,13.5787,13.0247,3.58
2014-12-17,"Austin, TX",52.9,49.1,50.9,52.9,45.7,50.1,42.0,73.1,0.123,rain,25.3,7.7,99.9,9.0,1.0,2014-12-17T07:21:15,2014-12-17T17:33:06,"Rain, Overcast",Cloudy skies throughout the day with afternoon rain.,rain,13.7213,110445485,12.8707,13.7767,12.8433,3.72
2014-12-18,"Austin, TX",60.0,48.5,53.3,60.0,45.9,52.9,51.3,93.1,0.001,rain,20.8,11.2,100.0,4.4,3.0,2014-12-18T07:21:50,2014-12-18T17:33:30,"Rain, Overcast",Cloudy skies throughout the day with early morning rain.,rain,14.5507,111976774,14.1587,14.5627,14.12,3.71
2014-12-19,"Austin, TX",55.9,48.8,51.2,55.9,44.1,49.4,47.7,88.2,0.775,rain,24.8,11.5,99.7,8.2,3.0,2014-12-19T07:22:23,2014-12-19T17:33:57,"Rain, Overcast",Cloudy skies throughout the day with rain clearing later.,rain,14.6193,103530863,14.6793,14.6933,14.3,3.71
2014-12-22,"Austin, TX",72.2,56.0,62.1,72.2,56.0,62.1,52.6,72.8,0.0,,27.1,10.1,51.2,9.7,5.0,2014-12-22T07:23:56,2014-12-22T17:35:24,Partially cloudy,Clearing in the afternoon.,partly-cloudy-day,14.84,72038169,14.6667,14.9373,14.5507,3.05
2014-12-23,"Austin, TX",58.3,44.9,52.0,58.3,41.2,50.8,40.8,65.6,0.0,,30.8,18.2,65.0,9.9,5.0,2014-12-23T07:24:24,2014-12-23T17:35:56,Partially cloudy,Partly cloudy throughout the day.,partly-cloudy-day,14.7313,67643141,14.9207,14.9543,14.635,2.99
2014-12-24,"Austin, TX",56.0,35.7,46.0,56.0,34.3,43.9,32.2,59.9,0.0,,25.6,14.2,19.1,9.9,6.0,2014-12-24T07:24:51,2014-12-24T17:36:29,Clear,Clear conditions throughout the day.,clear-day,14.8173,20002760,14.6513,14.8333,14.6167,2.99
2014-12-26,"Austin, TX",72.5,53.1,61.2,72.5,53.1,61.2,56.0,83.4,0.008,rain,26.3,11.3,75.9,9.5,2.0,2014-12-26T07:25:41,2014-12-26T17:37:39,"Rain, Partially cloudy",Partly cloudy throughout the day with morning rain.,rain,15.188,49866530,14.7673,15.2333,14.7667,2.74
2014-12-29,"Austin, TX",63.3,29.2,45.2,63.3,29.2,45.2,35.3,71.8,0.0,,27.7,9.0,7.9,9.9,6.0,2014-12-29T07:26:45,2014-12-29T17:39:32,Clear,Clear conditions throughout the day.,clear-day,15.0473,42044709,15.1267,15.194,14.9347,3.07
2014-12-30,"Austin, TX",46.3,39.8,42.9,44.3,33.6,39.0,39.6,88.4,0.0,,28.7,14.1,86.1,6.2,3.0,2014-12-30T07:27:03,2014-12-30T17:40:13,Partially cloudy,Partly cloudy throughout the day.,partly-cloudy-day,14.8153,43474058,14.9327,15.0436,14.76,3.14
2014-12-31,"Austin, TX",41.3,36.5,38.9,35.5,29.1,32.1,29.8,69.6,0.0,,24.2,13.2,100.0,9.4,1.0,2014-12-31T07:27:20,2014-12-31T17:40:54,Overcast,Cloudy skies throughout the day.,cloudy,14.8273,35894187,14.8727,15.0453,14.8167,3.14
2015-01-02,"Austin, TX",42.7,38.2,40.0,42.1,32.9,35.9,39.1,96.8,0.134,rain,33.6,8.3,100.0,4.6,1.0,2015-01-02T07:27:48,2015-01-02T17:42:19,"Rain, Overcast",Cloudy skies throughout the day with a chance of rain throughout the day.,rain,14.6207,71298549,14.858,14.8833,14.2173,3.01
2015-01-05,"Austin, TX",50.7,28.1,37.9,50.7,22.9,34.8,23.4,57.6,0.0,,14.8,6.5,11.0,9.9,7.0,2015-01-05T07:28:19,2015-01-05T17:44:33,Clear,Clear conditions throughout the day.,clear-day,14.006,80332235,14.3033,14.4333,13.8108,3.22
2015-01-06,"Austin, TX",69.5,36.8,49.9,69.5,34.3,49.6,31.8,53.4,0.0,,15.2,7.3,10.7,9.9,6.0,2015-01-06T07:28:26,2015-01-06T17:45:20,Clear,Clear conditions throughout the day.,clear-day,14.0853,93864718,14.004,14.28,13.614,2.98
2015-01-07,"Austin, TX",50.2,31.9,44.0,50.2,22.2,39.2,28.4,55.6,0.0,,34.9,20.2,32.8,9.9,6.0,2015-01-07T07:28:32,2015-01-07T17:46:07,Partially cloudy,Partly cloudy throughout the day.,partly-cloudy-day,14.0633,44479928,14.2233,14.3187,13.9853,3.08
2015-01-08,"Austin, TX",35.3,22.7,29.5,31.0,15.3,24.3,11.4,46.5,0.0,,25.7,14.9,46.4,9.9,6.0,2015-01-08T07:28:35,2015-01-08T17:46:55,Partially cloudy,Partly cloudy throughout the day.,partly-cloudy-day,14.041,51523489,14.1873,14.2533,14.0007,2.92
2015-01-09,"Austin, TX",38.0,34.0,36.5,38.0,26.4,31.3,26.5,67.4,0.016,"rain,snow",21.9,14.2,99.9,9.4,1.0,2015-01-09T07:28:37,2015-01-09T17:47:43,"Snow, Rain, Overcast",Cloudy skies throughout the day with rain or snow.,rain,13.7773,68869616,13.928,13.9987,13.664,2.96
2015-01-12,"Austin, TX",46.3,42.1,43.7,44.9,36.1,39.7,41.0,90.7,0.0,,23.9,12.5,100.0,5.5,3.0,2015-01-12T07:28:33,2015-01-12T17:50:12,Overcast,Cloudy skies throughout the day.,cloudy,13.4807,89184060,13.5367,13.6313,13.2833,2.9
2015-01-13,"Austin, TX",41.3,35.3,38.4,36.6,27.4,32.5,33.4,82.1,0.0,,22.6,11.0,100.0,7.3,3.0,2015-01-13T07:28:29,2015-01-13T17:51:02,Overcast,Cloudy skies throughout the day.,cloudy,13.6167,63715528,13.5547,13.8407,13.3941,2.92
2015-01-14,"Austin, TX",39.8,38.0,39.0,38.8,32.3,34.9,35.9,88.7,0.001,rain,16.6,10.0,99.9,4.7,1.0,2015-01-14T07:28:23,2015-01-14T17:51:53,"Rain, Overcast",Cloudy skies throughout the day with afternoon rain.,rain,12.846,172745014,12.3887,13.0133,12.3333,3.15
2015-01-15,"Austin, TX",58.4,38.0,45.0,58.4,32.8,43.4,36.0,73.1,0.0,,19.9,8.6,37.7,9.2,7.0,2015-01-15T07:28:14,2015-01-15T17:52:45,Partially cloudy,Partly cloudy throughout the day.,partly-cloudy-day,12.7913,78071616,12.966,13.05,12.6667,3.32
2015-01-16,"Austin, TX",63.8,36.0,48.1,63.8,33.0,47.5,37.0,69.0,0.0,,19.7,5.5,15.1,9.9,7.0,2015-01-16T07:28:05,2015-01-16T17:53:36,Clear,Clear conditions throughout the day.,clear-day,12.8713,53862798,12.7133,12.966,12.6433,3.11
2015-01-20,"Austin, TX",79.2,40.7,58.7,79.2,40.7,58.7,43.7,62.9,0.0,,19.7,9.4,1.0,9.5,7.0,2015-01-20T07:27:09,2015-01-20T17:57:06,Clear,Clear conditions throughout the day.,clear-day,12.7953,67360181,12.9247,12.9413,12.4693,2.94
2015-01-21,"Austin, TX",55.1,49.5,52.7,55.1,46.3,52.1,49.6,89.6,0.259,rain,19.7,11.7,73.9,4.9,1.0,2015-01-21T07:26:51,2015-01-21T17:57:58,"Rain, Partially cloudy",Partly cloudy throughout the day with rain.,rain,13.1047,62161784,12.6367,13.2453,12.634,2.94
2015-01-22,"Austin, TX",52.9,41.3,46.0,52.9,33.9,40.7,44.4,94.1,2.147,rain,32.3,17.1,100.0,5.5,0.0,2015-01-22T07:26:32,2015-01-22T17:58:51,"Rain, Overcast",Cloudy skies throughout the day with a chance of rain throughout the day.,rain,13.4413,61556264,13.1333,13.5493,13.0133,2.95
